date,hour,pm2.5
2010/1/6,0,138.1439454047404
2010/1/6,1,123.32193638423655
2010/1/6,2,116.79508563305808
2010/1/6,3,116.6996497128448
2010/1/6,4,115.7556161381076
2010/1/6,5,114.3146667811452
2010/1/6,6,113.1207872823843
2010/1/6,2,115.51366335817806
2010/1/6,2,108.10877567449461
2010/1/6,2,103.84274815195522
2010/1/6,2,96.43786046827177
2010/1/6,11,95.06485035560718
2010/1/6,3,88.1268328036756
2010/1/6,3,117.1599433368915
2010/1/6,3,110.87103411384805
2010/1/6,3,108.41995492021624
2010/1/6,3,106.19501913366958
2010/1/6,3,115.72740053195457
2010/1/6,4,111.16512589594026
2010/1/6,4,141.99834701427903
2010/1/6,4,126.84391090934696
2010/1/6,4,143.51379918519933
2010/1/6,22,152.1130610544203
2010/1/6,23,156.02539389778963
2010/1/13,0,72.36969904455282
2010/1/13,1,71.40535452190079
2010/1/13,2,64.23635407857068
2010/1/13,3,72.20286315788121
2010/1/13,4,61.70613723694464
2010/1/13,5,57.803695982593126
2010/1/13,6,56.21751271570383
2010/1/13,2,53.04793032678867
2010/1/13,2,50.81319733968621
2010/1/13,2,49.66849509619897
2010/1/13,2,42.26360741251551
2010/1/13,11,40.643527441649894
2010/1/13,3,38.4194184637206
2010/1/13,3,25.946212031730965
2010/1/13,3,23.50230278025151
2010/1/13,3,14.38832167453802
2010/1/13,3,17.25980102956646
2010/1/13,3,117.86741423315061
2010/1/13,4,128.1535251051307
2010/1/13,4,129.46114494805556
2010/1/13,4,136.7608528782573
2010/1/13,4,158.3368588497815
2010/1/13,22,159.63010723670527
2010/1/13,23,159.91584583405893
2010/1/20,0,156.63491561248065
2010/1/20,1,160.7564247202272
2010/1/20,2,157.37684696512565
2010/1/20,3,157.27299820997973
2010/1/20,4,140.7547438721158
2010/1/20,5,144.50426015964877
2010/1/20,6,120.5607594263688
2010/1/20,2,106.00442054339419
2010/1/20,2,104.22870974469265
2010/1/20,2,99.55279580811543
2010/1/20,2,84.84758469102826
2010/1/20,11,80.1322282017361
2010/1/20,3,76.77178205143491
2010/1/20,3,98.09880177524724
2010/1/20,3,103.64434086106644
2010/1/20,3,91.59154647684954
2010/1/20,3,98.43351650483828
2010/1/20,3,98.00331914288586
2010/1/20,4,96.14970730606319
2010/1/20,4,94.37399650736165
2010/1/20,4,76.03300944690477
2010/1/20,4,82.2349903453619
2010/1/20,22,77.26537826986782
2010/1/20,23,80.50044389308368
2010/1/27,0,147.46182418156468
2010/1/27,1,138.45306954148123
2010/1/27,2,149.50290926241814
2010/1/27,3,150.15145898263154
2010/1/27,4,139.79719090579874
2010/1/27,5,149.1295243697732
2010/1/27,6,155.94206035101843
2010/1/27,2,148.96537158436377
2010/1/27,2,143.57051749651487
2010/1/27,2,135.35492575213175
2010/1/27,2,127.13933400774886
2010/1/27,11,123.16284084937433
2010/1/27,3,116.47189315564401
2010/1/27,3,105.36451110831831
2010/1/27,3,75.9420897175603
2010/1/27,3,68.12453955401656
2010/1/27,3,70.33628657098302
2010/1/27,3,71.2431898108473
2010/1/27,4,79.41887515453504
2010/1/27,4,85.39132107688306
2010/1/27,4,84.48451888061982
2010/1/27,4,77.28880746131335
2010/1/27,22,77.42540772794996
2010/1/27,23,92.51184103891819
2010/2/3,0,116.45251506071554
2010/2/3,1,116.34990919835036
2010/2/3,2,134.8924825973968
2010/2/3,3,145.22700081056064
2010/2/3,4,153.03275285305426
2010/2/3,5,160.72193511827436
2010/2/3,6,160.02497140173864
2010/2/3,2,142.3724418860918
2010/2/3,2,146.48482266377187
2010/2/3,2,127.0088295167825
2010/2/3,2,95.28137946855827
2010/2/3,11,84.4608567631758
2010/2/3,3,62.38732968860313
2010/2/3,3,53.064172318512874
2010/2/3,3,47.69057917026612
2010/2/3,3,35.179479144452216
2010/2/3,3,45.16251766002301
2010/2/3,3,53.20692777745444
2010/2/3,4,47.77574453900161
2010/2/3,4,72.29276478089082
2010/2/3,4,101.97161414272546
2010/2/3,4,104.19315836024771
2010/2/3,22,107.97394740518644
2010/2/3,23,117.1538770170821
2010/2/10,0,66.6254577613422
2010/2/10,1,69.66888200227322
2010/2/10,2,66.0422343889702
2010/2/10,3,63.50284145345995
2010/2/10,4,63.863651655824924
2010/2/10,5,61.324258720314674
2010/2/10,6,65.67530280417054
2010/2/10,2,62.02911558094502
2010/2/10,2,60.25340478224348
2010/2/10,2,56.92300428241538
2010/2/10,2,53.755420338424074
2010/2/10,11,40.768942585231116
2010/2/10,3,31.988495814325006
2010/2/10,3,44.484905061213794
2010/2/10,3,41.88023877291721
2010/2/10,3,57.21655948881994
2010/2/10,3,55.603665245954744
2010/2/10,3,55.17346788400232
2010/2/10,4,52.01501227007748
2010/2/10,4,52.92191550994153
2010/2/10,4,57.10101470789459
2010/2/10,4,58.379910767972206
2010/2/10,22,54.27920729491666
2010/2/10,23,61.76911153991682
2010/2/17,0,145.2199745320936
2010/2/17,1,139.3528561189769
2010/2/17,2,147.20423943683113
2010/2/17,3,140.4682124212759
2010/2/17,4,129.2857054016515
2010/2/17,5,132.58814537758371
2010/2/17,6,99.27164780358908
2010/2/17,2,101.04546120096802
2010/2/17,2,86.55783918319025
2010/2/17,2,63.35770963880418
2010/2/17,2,53.73839991593263
2010/2/17,11,49.2904719965743
2010/2/17,3,30.297600541406837
2010/2/17,3,22.747478947796935
2010/2/17,3,20.018606244291732
2010/2/17,3,8.231180910989451
2010/2/17,3,6.682229022574575
2010/2/17,3,12.675033656654705
2010/2/17,4,82.87541114767964
2010/2/17,4,79.30835349340828
2010/2/17,4,103.10733581189584
2010/2/17,4,105.50221033261346
2010/2/17,22,99.62569501725488
2010/2/17,23,130.57131254337628
2010/2/24,0,173.29749332778283
2010/2/24,1,167.1805289906422
2010/2/24,2,180.10362262582726
2010/2/24,3,164.20720703220013
2010/2/24,4,175.33078630814316
2010/2/24,5,183.68959915558207
2010/2/24,6,182.99263543904658
2010/2/24,2,175.64395385217813
2010/2/24,2,167.637538372172
2010/2/24,2,149.14557958907722
2010/2/24,2,140.68291798649307
2010/2/24,11,135.32245005816026
2010/2/24,3,127.03891906947956
2010/2/24,3,118.11723527849404
2010/2/24,3,112.8018466719866
2010/2/24,3,124.82907087773651
2010/2/24,3,127.47379132247806
2010/2/24,3,133.5501327121201
2010/2/24,4,141.74612900372244
2010/2/24,4,165.52814417950185
2010/2/24,4,158.427915392557
2010/2/24,4,162.37747961440073
2010/2/24,22,159.02076178177185
2010/2/24,23,173.44234044516907
2010/3/3,0,121.87373739277609
2010/3/3,1,140.58820896557768
2010/3/3,2,156.2943204581627
2010/3/3,3,137.38057609637872
2010/3/3,4,133.29490629467477
2010/3/3,5,132.3508727199378
2010/3/3,6,131.4068391452006
2010/3/3,2,139.34510549939432
2010/3/3,2,138.07753981291444
2010/3/3,2,130.6529089207006
2010/3/3,2,124.52620075029154
2010/3/3,11,120.75831611690933
2010/3/3,3,121.19646246581442
2010/3/3,3,117.22658729605587
2010/3/3,3,111.9111986895482
2010/3/3,3,108.15049978416687
2010/3/3,3,101.86159056112342
2010/3/3,3,107.88311897805079
2010/3/3,4,125.7220264658622
2010/3/3,4,130.20578456055364
2010/3/3,4,129.70886877832845
